newTime, 0.808387, absoluteTime, 0.808387, accumulator, 0.018387, discrete time, 79, input jump, 0
newTime, 0.808387, absoluteTime, 0.808387, accumulator, 0.008387, discrete time, 80, input jump, 0
newTime, 0.825135, absoluteTime, 0.825135, accumulator, 0.025135, discrete time, 80, input jump, 0
newTime, 0.825135, absoluteTime, 0.825135, accumulator, 0.015135, discrete time, 81, input jump, 0
newTime, 0.825135, absoluteTime, 0.825135, accumulator, 0.015135, discrete time, 81, input jump, 0
newTime, 0.825135, absoluteTime, 0.825135, accumulator, 0.005135, discrete time, 82, input jump, 0
newTime, 0.841804, absoluteTime, 0.841804, accumulator, 0.021804, discrete time, 82, input jump, 0
newTime, 0.841804, absoluteTime, 0.841804, accumulator, 0.011804, discrete time, 83, input jump, 0
newTime, 0.841804, absoluteTime, 0.841804, accumulator, 0.011804, discrete time, 83, input jump, 0
newTime, 0.841804, absoluteTime, 0.841804, accumulator, 0.001804, discrete time, 84, input jump, 0
newTime, 0.858381, absoluteTime, 0.858381, accumulator, 0.018381, discrete time, 84, input jump, 0
newTime, 0.858381, absoluteTime, 0.858381, accumulator, 0.008381, discrete time, 85, input jump, 0
newTime, 0.875086, absoluteTime, 0.875086, accumulator, 0.025086, discrete time, 85, input jump, 0
newTime, 0.875086, absoluteTime, 0.875086, accumulator, 0.015086, discrete time, 86, input jump, 0
newTime, 0.875086, absoluteTime, 0.875086, accumulator, 0.015086, discrete time, 86, input jump, 0
newTime, 0.875086, absoluteTime, 0.875086, accumulator, 0.005086, discrete time, 87, input jump, 0
newTime, 0.891770, absoluteTime, 0.891770, accumulator, 0.021770, discrete time, 87, input jump, 0
newTime, 0.891770, absoluteTime, 0.891770, accumulator, 0.011770, discrete time, 88, input jump, 0
newTime, 0.891770, absoluteTime, 0.891770, accumulator, 0.011770, discrete time, 88, input jump, 0
newTime, 0.891770, absoluteTime, 0.891770, accumulator, 0.001770, discrete time, 89, input jump, 0
