newTime, 0.641608, absoluteTime, 0.641608, accumulator, 0.001608, discrete time, 64, input jump, 0
newTime, 0.658353, absoluteTime, 0.658353, accumulator, 0.018353, discrete time, 64, input jump, 0
newTime, 0.658353, absoluteTime, 0.658353, accumulator, 0.008353, discrete time, 65, input jump, 0
newTime, 0.675039, absoluteTime, 0.675039, accumulator, 0.025039, discrete time, 65, input jump, 0
newTime, 0.675039, absoluteTime, 0.675039, accumulator, 0.015039, discrete time, 66, input jump, 0
newTime, 0.675039, absoluteTime, 0.675039, accumulator, 0.015039, discrete time, 66, input jump, 0
newTime, 0.675039, absoluteTime, 0.675039, accumulator, 0.005039, discrete time, 67, input jump, 0
newTime, 0.691585, absoluteTime, 0.691585, accumulator, 0.021585, discrete time, 67, input jump, 0
newTime, 0.691585, absoluteTime, 0.691585, accumulator, 0.011585, discrete time, 68, input jump, 0
newTime, 0.691585, absoluteTime, 0.691585, accumulator, 0.011585, discrete time, 68, input jump, 0
newTime, 0.691585, absoluteTime, 0.691585, accumulator, 0.001585, discrete time, 69, input jump, 0
newTime, 0.708281, absoluteTime, 0.708281, accumulator, 0.018281, discrete time, 69, input jump, 0
newTime, 0.708281, absoluteTime, 0.708281, accumulator, 0.008281, discrete time, 70, input jump, 0
newTime, 0.724966, absoluteTime, 0.724966, accumulator, 0.024966, discrete time, 70, input jump, 0
newTime, 0.724966, absoluteTime, 0.724966, accumulator, 0.014966, discrete time, 71, input jump, 0
newTime, 0.724966, absoluteTime, 0.724966, accumulator, 0.014966, discrete time, 71, input jump, 0
newTime, 0.724966, absoluteTime, 0.724966, accumulator, 0.004966, discrete time, 72, input jump, 0
newTime, 0.741639, absoluteTime, 0.741639, accumulator, 0.021639, discrete time, 72, input jump, 0
newTime, 0.741639, absoluteTime, 0.741639, accumulator, 0.011639, discrete time, 73, input jump, 0
newTime, 0.741639, absoluteTime, 0.741639, accumulator, 0.011639, discrete time, 73, input jump, 0
newTime, 0.741639, absoluteTime, 0.741639, accumulator, 0.001639, discrete time, 74, input jump, 0
newTime, 0.758555, absoluteTime, 0.758555, accumulator, 0.018555, discrete time, 74, input jump, 0
newTime, 0.758555, absoluteTime, 0.758555, accumulator, 0.008555, discrete time, 75, input jump, 0
newTime, 0.774943, absoluteTime, 0.774943, accumulator, 0.024943, discrete time, 75, input jump, 0
newTime, 0.774943, absoluteTime, 0.774943, accumulator, 0.014943, discrete time, 76, input jump, 0
newTime, 0.774943, absoluteTime, 0.774943, accumulator, 0.014943, discrete time, 76, input jump, 0
newTime, 0.774943, absoluteTime, 0.774943, accumulator, 0.004943, discrete time, 77, input jump, 0
newTime, 0.791587, absoluteTime, 0.791587, accumulator, 0.021587, discrete time, 77, input jump, 0
newTime, 0.791587, absoluteTime, 0.791587, accumulator, 0.011587, discrete time, 78, input jump, 0
newTime, 0.791587, absoluteTime, 0.791587, accumulator, 0.011587, discrete time, 78, input jump, 0
newTime, 0.791587, absoluteTime, 0.791587, accumulator, 0.001587, discrete time, 79, input jump, 0
newTime, 0.808243, absoluteTime, 0.808243, accumulator, 0.018243, discrete time, 79, input jump, 0
newTime, 0.808243, absoluteTime, 0.808243, accumulator, 0.008243, discrete time, 80, input jump, 0
newTime, 0.824912, absoluteTime, 0.824912, accumulator, 0.024913, discrete time, 80, input jump, 0
newTime, 0.824912, absoluteTime, 0.824912, accumulator, 0.014913, discrete time, 81, input jump, 0
newTime, 0.824912, absoluteTime, 0.824912, accumulator, 0.014913, discrete time, 81, input jump, 0
newTime, 0.824912, absoluteTime, 0.824912, accumulator, 0.004913, discrete time, 82, input jump, 0
newTime, 0.841561, absoluteTime, 0.841561, accumulator, 0.021561, discrete time, 82, input jump, 0
newTime, 0.841561, absoluteTime, 0.841561, accumulator, 0.011561, discrete time, 83, input jump, 0
newTime, 0.841561, absoluteTime, 0.841561, accumulator, 0.011561, discrete time, 83, input jump, 0
newTime, 0.841561, absoluteTime, 0.841561, accumulator, 0.001561, discrete time, 84, input jump, 0
newTime, 0.858269, absoluteTime, 0.858269, accumulator, 0.018269, discrete time, 84, input jump, 0
newTime, 0.858269, absoluteTime, 0.858269, accumulator, 0.008269, discrete time, 85, input jump, 0
newTime, 0.874923, absoluteTime, 0.874923, accumulator, 0.024923, discrete time, 85, input jump, 0
newTime, 0.874923, absoluteTime, 0.874923, accumulator, 0.014923, discrete time, 86, input jump, 0
newTime, 0.874923, absoluteTime, 0.874923, accumulator, 0.014923, discrete time, 86, input jump, 0
newTime, 0.874923, absoluteTime, 0.874923, accumulator, 0.004923, discrete time, 87, input jump, 0
newTime, 0.891574, absoluteTime, 0.891574, accumulator, 0.021574, discrete time, 87, input jump, 0
newTime, 0.891574, absoluteTime, 0.891574, accumulator, 0.011574, discrete time, 88, input jump, 0
newTime, 0.891574, absoluteTime, 0.891574, accumulator, 0.011574, discrete time, 88, input jump, 0
newTime, 0.891574, absoluteTime, 0.891574, accumulator, 0.001574, discrete time, 89, input jump, 0
newTime, 0.908238, absoluteTime, 0.908238, accumulator, 0.018238, discrete time, 89, input jump, 0
newTime, 0.908238, absoluteTime, 0.908238, accumulator, 0.008238, discrete time, 90, input jump, 0
newTime, 0.925000, absoluteTime, 0.925000, accumulator, 0.025000, discrete time, 90, input jump, 0
newTime, 0.925000, absoluteTime, 0.925000, accumulator, 0.015000, discrete time, 91, input jump, 0
newTime, 0.925000, absoluteTime, 0.925000, accumulator, 0.015000, discrete time, 91, input jump, 0
newTime, 0.925000, absoluteTime, 0.925000, accumulator, 0.005000, discrete time, 92, input jump, 0
newTime, 0.941545, absoluteTime, 0.941545, accumulator, 0.021545, discrete time, 92, input jump, 0
newTime, 0.941545, absoluteTime, 0.941545, accumulator, 0.011545, discrete time, 93, input jump, 0
newTime, 0.941545, absoluteTime, 0.941545, accumulator, 0.011545, discrete time, 93, input jump, 0
newTime, 0.941545, absoluteTime, 0.941545, accumulator, 0.001545, discrete time, 94, input jump, 0
newTime, 0.958257, absoluteTime, 0.958257, accumulator, 0.018257, discrete time, 94, input jump, 0
newTime, 0.958257, absoluteTime, 0.958257, accumulator, 0.008257, discrete time, 95, input jump, 0
newTime, 0.975059, absoluteTime, 0.975059, accumulator, 0.025059, discrete time, 95, input jump, 0
newTime, 0.975059, absoluteTime, 0.975059, accumulator, 0.015059, discrete time, 96, input jump, 0
newTime, 0.975059, absoluteTime, 0.975059, accumulator, 0.015059, discrete time, 96, input jump, 0
newTime, 0.975059, absoluteTime, 0.975059, accumulator, 0.005059, discrete time, 97, input jump, 0
newTime, 0.991779, absoluteTime, 0.991779, accumulator, 0.021779, discrete time, 97, input jump, 0
newTime, 0.991779, absoluteTime, 0.991779, accumulator, 0.011779, discrete time, 98, input jump, 0
newTime, 0.991779, absoluteTime, 0.991779, accumulator, 0.011779, discrete time, 98, input jump, 0
newTime, 0.991779, absoluteTime, 0.991779, accumulator, 0.001779, discrete time, 99, input jump, 0
newTime, 1.008446, absoluteTime, 1.008446, accumulator, 0.018446, discrete time, 99, input jump, 0
newTime, 1.008446, absoluteTime, 1.008446, accumulator, 0.008446, discrete time, 100, input jump, 0
