serverEvent, server time, 9.402666, client Time, 1.654541, server step, 96, client step, 164, step time, 96, input jump, 0
serverEvent, server time, 9.419308, client Time, 1.670184, server step, 97, client step, 166, step time, 97, input jump, 0
serverEvent, server time, 9.436664, client Time, 1.688994, server step, 98, client step, 167, step time, 98, input jump, 0
serverEvent, server time, 9.452983, client Time, 1.704325, server step, 99, client step, 168, step time, 99, input jump, 0
serverEvent, server time, 9.469682, client Time, 1.722990, server step, 100, client step, 170, step time, 100, input jump, 0
serverEvent, server time, 9.486208, client Time, 1.753591, server step, 101, client step, 173, step time, 101, input jump, 0
serverEvent, server time, 9.502690, client Time, 1.754591, server step, 102, client step, 174, step time, 102, input jump, 0
serverEvent, server time, 9.519479, client Time, 1.770377, server step, 103, client step, 176, step time, 103, input jump, 0
serverEvent, server time, 9.536066, client Time, 1.805114, server step, 104, client step, 178, step time, 104, input jump, 0
serverEvent, server time, 9.552719, client Time, 1.804114, server step, 105, client step, 179, step time, 105, input jump, 0
serverEvent, server time, 9.569322, client Time, 1.820622, server step, 106, client step, 180, step time, 106, input jump, 0
serverEvent, server time, 9.586162, client Time, 1.854839, server step, 107, client step, 183, step time, 107, input jump, 0
serverEvent, server time, 9.603639, client Time, 1.870479, server step, 108, client step, 185, step time, 108, input jump, 0
serverEvent, server time, 9.619595, client Time, 1.870479, server step, 109, client step, 186, step time, 109, input jump, 0
serverEvent, server time, 9.636159, client Time, 1.904573, server step, 110, client step, 188, step time, 110, input jump, 0
serverEvent, server time, 9.652751, client Time, 1.921120, server step, 111, client step, 190, step time, 111, input jump, 0
serverEvent, server time, 9.669904, client Time, 1.922120, server step, 112, client step, 191, step time, 112, input jump, 0
serverEvent, server time, 9.686331, client Time, 1.938457, server step, 113, client step, 192, step time, 113, input jump, 0
serverEvent, server time, 9.702819, client Time, 1.953944, server step, 114, client step, 193, step time, 114, input jump, 0
serverEvent, server time, 9.719698, client Time, 1.987875, server step, 115, client step, 197, step time, 115, input jump, 0
serverEvent, server time, 9.736133, client Time, 2.003563, server step, 116, client step, 198, step time, 116, input jump, 0
